participant_id	test_section_id	sentence	user_input	keystroke_id	press_time	release_time	letter	keycode	press_to_release	press_to_press	timestamp_error_code	timestamp_error_code_1_this_sent
36	298	We lost 1 player this week who picked Baltimore, sorry.	We lost 1 layer this week who picked Baltimore, sorry.	14167	1471934885135	1471934894530	CAPS_LOCK	20	9395	-122	3	NA
49	494	Megan, try this for Phillips.	Megan, try this for Pillips.	24057	1471935136305	1471935165717	.	190	29412	-15840	3	NA
202	1751	The qualifying continues on the west side of town.	The qualifying continues on the west side of town.	85804	1471937497666	1471937497603	i	73	-63	143	1	TRUE
202	1855	But he vows to support any drivers who support the Pacers.	But he vows to support any drivers who support the pacers.	90322	1471937677468	1471937677444	 	32	-24	84	1	TRUE
227	1931	I think that Pam Butler called him.	I think that Pam Butler called him.	94056	1471937714502	1471937717590	SHIFT	16	3088	-128	3	NA
252	2178	Antonio Guterres sent a message of condolences to Smith's widow.	Antonio Guterres sent a message of condolences to Smith's widow.	106196	1471938118641	1471938147805	'	222	29164	-16257	3	NA
353	3244	What is your issue sir?	What is your issue sir?	157227	1471997842799	1471997887051	?	191	44252	-35167	3	NA
385	3541	What information, if any, do we owe him?	What information, if any, do we owe him?	170924	1471940226253	1471940245213	?	191	18960	-11930	3	NA
414	3956	He quoted local Yemenis as saying that 43 people had been killed.	He quoted local Yemenis as saying that 43 people had been killed.	189929	1471940759228	1471940766557	a	65	7329	-3541	3	NA
440	4259	Would you please send runner to get this?	Would you please send runner to get this?	203678	1471941215069	1471941228924	g	71	13855	-6551	3	NA
504	4991	The Hawks led from late in the first quarter.	The Hawks led from late in the first quarter.	239126	1471942074894	1471942090350	.	190	15456	-7328	3	NA
523	5268	Would you have John send me a message?	Would you have john send me a message?	252427	1471942398068	1471942420683	?	191	22615	-7928	3	NA
529	5418	Just wanted to touch base.	Just wanted to touch base.	259986	1471942634729	1471942668227	.	190	33498	-15142	3	NA
548	5527	I will be there.	I will be there.	265099	1471942686460	1471942725355	w	87	38895	-35535	3	NA
606	6138	When the inspection is finished we will communicate those results.	When the inspection is finished we will communicate those results.	294559	1471943509398	1471943546476	.	190	37078	-16297	3	NA
627	6205	I'm in Stan's office.	I'm in Stan's office.	297013	1471943647981	1471943653437	 	32	5456	-1392	3	NA
627	6224	Sorry for any inconvenience.	sorry for any inconvenience.	298220	1471943687339	1471943698283	.	190	10944	-8	3	NA
639	6308	I am all about Win-Win here.	I am all about Win-Win ere.	302699	1471943816998	1471943831950	e	69	14952	-1134	3	NA
639	6355	I am meeting with my direct reports at 1 to work on recommendations.	I am meting with my direct reports at 1 to work on recommendations.	305080	1471943843587	1471943880954	t	84	37367	-18892	3	NA
642	6321	Andy Fastow will be on a leave of absence from the company.	Andy Fastow will be on a leave of absence from the company.	303179	1471943829394	1471943839554	e	69	10160	-2568	3	NA
753	7755	Leaks have indicated that Clinton has narrowed his choice.	Leaks have indicated that Clinton has narrowd his choice.	373743	1471945383111	1471945381429	 	32	-1682	275	1	TRUE
