sent_id	sentence
1	1.5 million visitors will flood Atlanta each day of the Olympics.
2	2nd since so many people are out of the office until then.
3	A Hungarian neuro surgeon said that medical supplies are low.
4	A bad thing has been turned into a good thing and.
5	A bad thing has been turned into a good thing.
6	A bit behind on my emails.
7	A definitive basic law will be drawn up within a year.
8	A detailed organizational chart is attached.
9	A gift isn't necessary.
10	A growing number of US households are joining the middle class.
11	A letter is being sent today.
12	A parliamentary committee will collect the public's comments.
13	A report Thursday showed wholesale prices fell 0.1 percent in April.
14	A state supreme court judge is expected to rule on the issue shortly.
15	A three-man inquiry team spent months investigating the allegations.
16	About 10 Jordanian doctors arrived at the hospital a few days ago.
17	About 20 were Americans, but there were also Dutch and Swiss.
18	Add a Star Trek convention and sports memorabilia show to the mix.
19	After leaving the navy in he joined the merchant marines.
20	All our demographics indicate that is a family audience.
21	Allocations will be based on WIC allocations methods.
22	Also it appears no payment is required tomorrow.
23	Also,  please look at Howell for Oct 2001.
24	Also, regarding the cash flow from Canada.
25	Although we are sending this e-mail to you, SportsLine.
26	Am I getting a good package?
27	Amy Felling should be your contact on the 19th.
28	Amy was let go last Friday here along with another guy.
29	Amy will be here to cover.
30	Amy will no longer be here so I will be the only one working on this.
31	An overwhelming majority do agree on the middle policy.
32	And I can't turn my phone on.
33	And if he's not, then he doesn't play.
34	And leave my school alone.
35	And maybe for too long we've been underestimating ourselves.
36	Andy Fastow will be on a leave of absence from the company.
37	Another group of policemen was due to be deployed.
38	Antonio Guterres sent a message of condolences to Smith's widow.
39	Any other use is expressly prohibited.
40	Anything exciting going on today?
41	Apparently, BP is using the correct pricing.
42	Appointing Jeff as CFO is one important step in that process.
43	Are things better for you at home tonight?
44	Are we ready for this on Monday?
45	Are you back in town?
46	Are you being a baby?
47	Are you feeling better?
48	Are you getting all the information you need?
49	Are you going to apply?
50	Are you going to call?
51	Are you going to join us for lunch?
52	Are you in a good mood?
53	Are you in today?
54	Are you on the diet with me?
55	Are you sure I don't need to be there?
56	Argentina have called off their two football internationals in Japan.
57	Arkansas called in 32 extra state police to the prison.
58	As for your second question, bench Mike Anderson.
59	As soon as I get it - I'll forward it to you.
60	As soon as anyone does that they can get nailed.
61	As soon as we are done - we'll give you a call.
62	As they used to say of Gandhi, he was a mahatma, a great soul.
63	As usual, I will be as candid as I can.
64	At 17, he enlisted in the US Navy.
65	At least then one person in Denver would be able to get in.
66	Ava please put it on my calendar.
67	Ava, do we need to worry about this?
68	Ava, please put me on the list.
69	Avoid starting either back in Week 10 if at all possible.
70	Baku's forces had for more than 24 hours been engaged in clashes.
71	Barry, hope that you had a great Christmas.
72	Be back tomorrow and maybe we can visit.
73	Because there is traffic.
74	Before I forget, there is one last change.
75	Below is the intended version.
76	Ben could tell him about Pompano.
77	Benjamin Gay and Jamel White shared carries in his place.
78	Best of luck and stay in touch.
79	Between 0 and 4 are allowed.
80	Binoche welcomed the movie industry to the French riviera.
81	Board meeting running long.
82	Bob, I'll pick San Diego as my winner.
83	Bob, I'll take Oakland as my winner this week.
84	Bob,I'll take Denver to Win.
85	Both have also promised higher salaries.
86	Both leading candidates have promised to create jobs.
87	Both of us are still here.
88	Both sides had indicated interest in a cessation of hostilities
89	Bound to be some media flack on this.
90	Boy, I couldn't write too much on this thing!
91	Bradford has yet to prove himself as a Fantasy player.
92	Brady only has five catches this season.
93	Brcko had been proposed as another site for a safe area.
94	Brian Mitchell will likely serve as Duce Staley's backup.
95	Brian is working this.
96	Britain earlier organised an evacuation of non-Britons from Sanaa.
