PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
485961	5233592	How would you explain the difference between the two?	how woudl you explain the difference between the two	248430230	1478647844782	1478647844919	NA	72
485961	5233592	How would you explain the difference between the two?	how woudl you explain the difference between the two	248430235	1478647844888	1478647844993	NA	79
485961	5233592	How would you explain the difference between the two?	how woudl you explain the difference between the two	248430241	1478647844978	1478647845062	NA	87
485961	5233592	How would you explain the difference between the two?	how woudl you explain the difference between the two	248430248	1478647845171	1478647845266	NA	87
485961	5233592	How would you explain the difference between the two?	how woudl you explain the difference between the two	248430291	1478647845234	1478647845356	NA	79
485961	5233592	How would you explain the difference between the two?	how woudl you explain the difference between the two	248430294	1478647845308	1478647845420	NA	85
485961	5233592	How would you explain the difference between the two?	how woudl you explain the difference between the two	248430298	1478647845456	1478647845514	NA	76
485961	5233592	How would you explain the difference between the two?	how woudl you explain the difference between the two	248430300	1478647845868	1478647845963		8
485961	5233592	How would you explain the difference between the two?	how woudl you explain the difference between the two	248430303	1478647846008	1478647846119		8
485961	5233592	How would you explain the difference between the two?	how woudl you explain the difference between the two	248430305	1478647846156	1478647846256		8
485961	5233592	How would you explain the difference between the two?	how woudl you explain the difference between the two	248430332	1478647846310	1478647846410		8
485961	5233592	How would you explain the difference between the two?	how woudl you explain the difference between the two	248430335	1478647846546	1478647846653	NA	32
485961	5233592	How would you explain the difference between the two?	how woudl you explain the difference between the two	248430337	1478647846708	1478647846818	NA	87
485961	5233592	How would you explain the difference between the two?	how woudl you explain the difference between the two	248430339	1478647846781	1478647846951	NA	79
485961	5233592	How would you explain the difference between the two?	how woudl you explain the difference between the two	248430352	1478647846892	1478647847009	NA	85
485961	5233592	How would you explain the difference between the two?	how woudl you explain the difference between the two	248430358	1478647847041	1478647847131	NA	68
485961	5233592	How would you explain the difference between the two?	how woudl you explain the difference between the two	248430366	1478647847065	1478647847141	NA	76
485961	5233592	How would you explain the difference between the two?	how woudl you explain the difference between the two	248430371	1478647847214	1478647847314	NA	32
